month,division,line,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins
2023-03-01,B DIVISION,R,7792946.2,1.747881421,0.192171782,13549239.058,1472969.1132,1504029.9
2023-03-01,A DIVISION,6,11182544.2,0.978059061,0.556553052,10928534.369,6240982.027,1087595.9
2023-07-01,B DIVISION,L,5847836,0.7632265115,0.4923787885,4463317.406,2878576.407,397629.2
2023-03-01,A DIVISION,S 42nd,751764.2,0.4863855525,-0.1029315825,352522.5631,-77939.86983,8820
2023-08-01,A DIVISION,4,7559819.1,0.9499380055,0.395724861,7185875.156,2995156.765,916429.4
2023-01-01,B DIVISION,C,4213318.1,1.655236317,0.5301887195,6976304.962,2253909.0775,737581.1
2023-01-01,A DIVISION,S 42nd,735193.2,0.442915217,-0.1039859205,318157.0018,-76876.03366,9874.5
2023-02-01,B DIVISION,E,10680298.5,0.982303457,0.316131383,10434801.907,3059286.846,1422635.7
2023-06-01,B DIVISION,R,7686712,1.6764894025,0.1936686985,12849352.379,1468649.8385,1517252.7
2023-09-01,B DIVISION,G,2289466.8,1.1300019665,0.782879531,2589335.901,1780481.609,406103.6
2023-06-01,B DIVISION,B,5041014.7,1.7843441445,0.9045128955,8884781.872,4576760.406,1174113.3
2023-05-01,B DIVISION,W,2844084.3,1.237230738,0.110167408,3450716.973,284745.40033,338884.8
2023-09-01,Systemwide,Systemwide,108177842.2,1.230818778,0.567678415,133147319.5,61410226.03,16826522.3
2023-10-01,A DIVISION,5,6472904.1,1.19409278,0.4371975835,7657060.131,2725740.311,839591.4
2023-08-01,A DIVISION,5,5928282.7,1.177568027,0.3637503265,6913876.847,2079664.348,726612.1
2023-02-01,B DIVISION,N,4153759.4,1.569792063,0.658849401,6560988.847,2729955.497,746721
2023-11-01,B DIVISION,F,9705143,1.317016928,0.360089047,12702212.847,3379949.5805,1702586.8
2023-09-01,A DIVISION,S 42nd,616977.5,0.4865122665,-0.1169695825,294372.4428,-72124.24217,5970.9
2023-12-01,B DIVISION,JZ,2690914.1,1.890354875,0.626636445,5049994.514,1683883.1067,557021.3
2023-05-01,B DIVISION,L,6304639,0.712946578,0.574404,4489303.453,3606178.839,455022.7
2023-04-01,A DIVISION,6,9977417.4,1.0463423385,0.5744064065,10455720.691,5747149.585,993511.3
2023-01-01,A DIVISION,5,5510736.4,1.172359319,0.528332821,6459962.646,2969334.178,684848.2
2023-11-01,B DIVISION,E,7535645,1.0314708375,0.356567373,7774497.447,2701049.6655,1081324
2023-08-01,A DIVISION,S 42nd,801780,0.471838769,-0.111212552,374771.7245,-88603.47633,8514.1
2023-01-01,B DIVISION,F,8070896.9,1.3292622565,0.084391556,10630450.579,545335.663,1211172.5
2023-10-01,A DIVISION,2,6977336.5,1.5799390105,0.5362156265,10987293.979,3739486.459,1141917.3
2023-08-01,B DIVISION,M,3876994.9,1.838916194,0.061032207,7091634.891,220846.45663,793784.9
2023-03-01,B DIVISION,Q,6982909.3,1.400451637,0.586124421,9773741.773,4136235.995,1382756
2023-06-01,A DIVISION,7,9691040.9,1.2894239095,0.4370118585,12632344.092,4278579.172,1070132.1
2023-03-01,B DIVISION,F,9278113,1.5039305305,0.20350404,13927686.176,1795813.1228,1634907.5
2023-08-01,B DIVISION,N,5405783.1,1.835426044,0.4788480915,9921894.545,2588464.981,1044576
2023-12-01,B DIVISION,Q,6527672.7,1.580868879,0.335042479,10332774.173,2216952.4543,1350708.7
2023-04-01,B DIVISION,W,2529763.1,1.075459768,0.0027904805,2678089.637,-22350.5057,277607.2
2023-08-01,B DIVISION,S Fkln,365950.7,0.543659052,0.0990193615,200835.9768,36473.12316,18683.7
2023-07-01,B DIVISION,A,7475298,1.233463611,0.612026558,9131985.704,4403300.32,1304806.7
2023-03-01,B DIVISION,C,4593972.7,1.5990290825,0.573995599,7347419.457,2642530.96,821003.3
2023-05-01,A DIVISION,5,5883650.9,0.898964879,0.3642176265,5176584.572,2075778.1553,702847.6
2023-10-01,B DIVISION,M,2241236.6,1.457792224,0.060508404,3326282.577,139603.1235,315138.6
2023-06-01,B DIVISION,C,4716040.1,1.7019657295,0.5033750495,8025561.966,2437646.2167,876613.9
2023-11-01,B DIVISION,A,8459644,1.1824982965,0.7579028235,9912887.073,6299037.904,1543248
2023-08-01,B DIVISION,D,6072662.6,1.456252346,0.493619616,8872456.375,3008020.041,1269187.9
2023-10-01,A DIVISION,6,12192714.9,1.144365378,0.6803567705,13955304.078,8316147.557,1479425
2023-09-01,A DIVISION,1,8147644.5,1.15793223,0.715129947,9435990.644,5825788.326,997778.5
2023-08-01,B DIVISION,W,2750061,1.22883349,0.1749388515,3435218.47,479045.1755,325421.6
2023-12-01,B DIVISION,S Rock,42486,0.745805433,-0.9643353885,32500.87883,-39803.33183,3797
2023-04-01,B DIVISION,M,3958102.3,1.804808699,0.220264974,7096139.774,855464.042,807029.2
2023-02-01,A DIVISION,7,7428902.6,0.8453402605,0.6189409385,6269463.151,4660987.064,808719.5
2023-06-01,B DIVISION,M,4291178.2,1.841182105,0.4269714355,7860494.91,1832317.2499,929934.4
2023-04-01,A DIVISION,4,6971396.6,0.927795229,0.3524398,6465909.126,2456103.931,805506
2023-02-01,B DIVISION,M,2883091,1.7522207095,0.195219836,4998367.083,549965.3221,575285.2
2023-07-01,B DIVISION,S Fkln,355326,0.5924784285,0.087049103,211228.4,30989.62933,17660.1
2023-12-01,B DIVISION,G,2900203.8,1.3805069075,0.858505484,4054817.605,2487181.928,543747.3
2023-11-01,B DIVISION,C,4958919,1.5347323735,0.477183351,7589226.338,2397102.4347,918141.5
2023-08-01,B DIVISION,Q,6972181.7,1.430074911,0.4951084575,9970334.142,3441229.609,1404952.3
2023-12-01,Systemwide,Systemwide,129793018.1,1.493191773,0.533072115,193805866.8,69189038.68,22302612.7
2023-11-01,B DIVISION,D,5878613,1.625975195,1.008196317,9586435.729,5950641.483,1332878.4
2023-04-01,B DIVISION,A,7311650.6,1.1410084575,0.6221898325,8251236.628,4431407.534,1195461.5
2023-07-01,A DIVISION,2,6114891.3,1.23743265,0.267497319,7524362.308,1576346.7875,822657.8
2023-08-01,B DIVISION,JZ,2833520.4,1.375163762,0.1911494005,3894139.014,539377.8922,485490.7
2023-11-01,B DIVISION,W,3371450,0.865203578,0.103048971,2920600.585,343433.947,331016.5
2023-04-01,A DIVISION,3,4465715.8,1.1190934505,0.3768984665,5042269.298,1730007.0338,520157.1
2023-12-01,A DIVISION,S 42nd,585651.2,0.4668607505,-0.105881924,271147.327,-62151.39967,7209.1
2023-11-01,B DIVISION,M,2196882,0.864347915,0.0751571395,1896273.3641,156080.1063,310210.4
2023-11-01,A DIVISION,2,6670862,1.2757072215,0.3907613395,8490392.603,2600935.399,947050.6
2023-06-01,B DIVISION,F,9112044.9,1.4080435655,0.2061806945,12772898.758,1764779.758,1553441.4
2023-07-01,A DIVISION,7,8946637.2,1.05919173,0.61785896,9482676.793,5518983.905,996134.3
2023-06-01,B DIVISION,S Rock,41974.5,0.958249667,-0.9789843195,41278.99034,-40197.16034,4229.7
2023-12-01,B DIVISION,C,4631814.9,1.887227584,0.4535385305,8711749.673,2132939.7458,984247.2
2023-11-01,B DIVISION,N,5384941,1.4070616945,0.4390579745,7604700.6,2370470.504,990565.4
2023-06-01,B DIVISION,W,2701657.6,1.099402994,0.1186597365,2893800.941,268239.62137,325695.8
2023-04-01,A DIVISION,2,5974956.1,1.379368417,0.364569054,8270457.731,2162624.779,840407.8
2023-12-01,B DIVISION,N,5318689.8,1.8315857875,0.5719247695,9736347.135,3030882.335,1140300.1
2023-01-01,B DIVISION,M,4124664.6,1.7137820805,0.2431470395,7052751.912,1009161.4313,821585.9
2023-12-01,A DIVISION,5,5866395.6,1.236551325,0.3477112125,7200353.993,1877101.7,791177.5
2023-09-01,B DIVISION,C,3784998.3,1.698318966,0.618923611,6400803.645,2379551.4035,758247.3
2023-01-01,A DIVISION,4,6976875.9,1.1136256635,0.5600259215,7773628.074,3915283.217,863520.1
2023-02-01,B DIVISION,Q,5505552.9,1.6505096235,0.6325733875,9164720.958,3514568.815,1122647.3
2023-12-01,A DIVISION,3,4859619.8,1.0698036745,0.387719124,5181858.132,1895379.8408,585594.1
2023-01-01,A DIVISION,3,4771597.6,0.8305978525,0.296638207,3968047.464,1419678.2552,462589
2023-12-01,B DIVISION,M,2126612.2,2.019906751,0.0857250625,4283764.294,181843.82716,446300
2023-10-01,Systemwide,Systemwide,146739785.1,1.370222614,0.543515954,201066171.9,79755414.34,22765442
2023-06-01,A DIVISION,4,8275396.7,0.8794327335,0.28918913,7276178.451,2392938.795,919294.7
2023-10-01,B DIVISION,D,6403833.6,1.640663655,0.8472541625,10569371.444,5458619.491,1478416
2023-06-01,B DIVISION,Q,6785958.7,1.3346769055,0.479921611,9053286.278,3260037.386,1295853.9
2023-10-01,B DIVISION,G,3167193.6,1.281510675,0.8157424915,4107644.461,2570668.121,553580.8
2023-11-01,B DIVISION,L,6477617,0.8616528395,0.658445399,5578891.586,4261897.81,559643.6
2023-12-01,B DIVISION,D,5418818.3,1.8591745265,0.9042181285,10090231.985,4906928.686,1351085
2023-02-01,B DIVISION,D,4339375.1,1.4430474195,0.6116347015,6245453.251,2650177.038,891580.4
2023-10-01,A DIVISION,7,10218359.4,2.130989227,0.5724515155,22123123.51,5822251.889,1237508.7
2023-07-01,B DIVISION,Q,6551412,1.587247854,0.504713847,10399150.072,3315972.56,1360491.6
2023-10-01,B DIVISION,W,3432986.2,0.8403548955,0.2425240575,2890013.918,831961.5343,379563.3
2023-10-01,B DIVISION,S Fkln,404230.4,0.4743708555,0.0595196905,191361.24747,24098.35333,19391.2
2023-10-01,A DIVISION,3,5382694,1.2799664265,0.477001689,6836736.139,2597878.453,707129.8
2023-07-01,B DIVISION,S Rock,55852,1.343924187,-0.746190127,74931.1145,-39737.33916,6448.9
2023-07-01,A DIVISION,5,5559989.1,1.026384984,0.2425654395,5637960.984,1256899.8563,649644
2023-06-01,B DIVISION,E,7617375.3,1.329696737,0.802375991,10095244.42,6028395.465,1349871.9
2023-04-01,B DIVISION,L,5800822,0.6624035305,0.597414872,3842461.441,3458233.681,431377.3
2023-11-01,B DIVISION,S Rock,42186.9,0.9392964105,-0.888182018,39004.5085,-37080.19817,4029.1
2023-09-01,B DIVISION,A,6621392.4,1.325148717,1.082832882,8740459.31,7103662.29,1370481.4
2023-05-01,B DIVISION,JZ,2954937.3,1.6511468505,0.3611379005,4882988.109,1062880.4244,535215.7
2023-04-01,B DIVISION,S Rock,37786,0.6854871015,-0.99621924,25886.17617,-37198.38567,3114.1
2023-08-01,B DIVISION,B,4591748.9,1.5338231985,0.660961383,6957544.656,3044339.649,910601.7
2023-08-01,A DIVISION,3,5113179.7,2.068803422,0.392061815,10655357.103,2005317.4887,630813.2
2023-09-01,B DIVISION,M,1680094.2,1.0315370055,0.140451272,1734203.4837,231247.09783,247612.9
2023-02-01,B DIVISION,W,2197668,1.258156775,0.1878850815,2770932.129,398880.3201,239003.7
2023-01-01,B DIVISION,S Fkln,344001,0.464665216,0.1033423395,159654.33983,35559.12733,12462.2
2023-08-01,Systemwide,Systemwide,136755279.3,1.463283374,0.469196049,200111726.4,64165036.79,21017451.1
2023-03-01,B DIVISION,S Rock,41733.5,0.8682962345,-0.8926315985,36814.665,-36636.42933,3482.1
2023-08-01,A DIVISION,6,10451121.5,1.215213943,0.5873664765,12696285.112,6132304.75,1212219.6
2023-07-01,B DIVISION,W,2547683,1.171110064,0.1655624035,2961417.87,411102.0832,315961.9
2023-09-01,A DIVISION,5,4728751.4,1.076503246,0.3169859815,5082561.391,1441551.6776,565985.8
2023-06-01,B DIVISION,D,5730802.6,1.659781072,0.8993764775,9557968.235,5189126.535,1340007.6
2023-10-01,B DIVISION,S Rock,48032.6,1.101134286,-0.889579342,51949.18483,-41071.53517,4990.3
2023-02-01,B DIVISION,F,7258005.1,1.488577596,0.149357,10737356.836,964357.8427,1251708.9
2023-04-01,B DIVISION,F,8345001.9,1.3843138635,0.154093202,11481293.126,1194219.4928,1345116.5
2023-12-01,B DIVISION,B,4692289.2,1.8633182225,0.7848138275,8680026.346,3817221.653,1147354.7
2023-05-01,B DIVISION,D,5990058.4,1.9350626,1.1966376795,11643682.606,7212832.117,1543541.5
2023-02-01,A DIVISION,1,7927774.4,0.9821166985,0.670128788,7747642.504,5282424.293,863419.5
2023-10-01,A DIVISION,4,8493007.4,1.0916753475,0.4716936135,9270696.347,4005833.777,1114671.8
2023-03-01,B DIVISION,JZ,3055567.8,1.1084164765,0.3240820815,3367107.96,1016837.298,501430.7
2023-03-01,B DIVISION,D,5996667.4,1.6858677845,0.7805186595,10115614.64,4682342.157,1377224.3
2023-01-01,A DIVISION,2,8168292.5,1.1466512845,0.295563534,9327605.605,2390665.292,1059623.7
2023-12-01,B DIVISION,E,6449540,1.144058187,0.3115493755,7372577.944,1749131.6927,951132.2
2023-08-01,B DIVISION,F,9261612.9,1.5230512205,0.27695341,14073911.51,2527710.721,1700956.6
2023-06-01,B DIVISION,JZ,2807370.8,1.3185469685,0.2201140925,3693280.214,614785.2332,494904.9
2023-12-01,A DIVISION,2,6356292.7,1.355972307,0.4476223015,8581160.764,2789722.73,972523
2023-04-01,A DIVISION,1,9200058.7,1.0262416295,0.6795092575,9443528.822,6245510.916,1019272.5
2023-08-01,B DIVISION,E,7949577.5,1.04514033,0.425641876,8308510.068,3384191.0752,1176918.9
2023-05-01,B DIVISION,N,5272983.8,1.6125227635,0.7682621585,8468200.274,4010705.579,1034630.7
2023-08-01,B DIVISION,L,6364633.6,0.7752089495,0.541036193,4943337.07,3466771.892,462193.6
2023-01-01,A DIVISION,7,8596962.5,0.941210562,0.619865936,8027062.763,5371509.285,932698.3
2023-04-01,B DIVISION,D,5543650,1.347652511,0.5274947505,7514962.988,2939674.24,1087110.1
2023-10-01,A DIVISION,1,11081369.1,1.0475618455,0.744005687,11610685.483,8238978.71,1343645.2
2023-10-01,B DIVISION,F,10151404.8,1.521238795,0.522375625,15361704.174,5241045.141,1882203.4
2023-11-01,A DIVISION,7,9373728,1.263101772,0.5504071155,11962538.929,5211314.422,1054457.7
2023-10-01,B DIVISION,Q,7346812.9,1.482870193,0.353729055,10878878.475,2620451.2327,1459687
2023-09-01,B DIVISION,D,4478595.7,1.6980717725,0.884837768,7645238.864,3973562.248,1038758.1
2023-03-01,Systemwide,Systemwide,138264969.6,1.306170535,0.545145049,180597629.4,75374463.58,21134119.3
2023-01-01,B DIVISION,W,2754694.5,0.8736041985,-0.011043146,2390219.993,-39946.70837,262022.4
2023-08-01,B DIVISION,C,4749267.2,1.7489052145,0.6518021405,8268169.274,3138112.038,988309.5
2023-04-01,B DIVISION,R,6908347.5,1.557641457,0.0874330095,10708822.308,566881.40033,1272691.6
2023-06-01,A DIVISION,1,10698680.9,1.197295627,0.6402474515,12871034.129,6845678.57,1130234.6
2023-03-01,B DIVISION,M,4473800.6,2.559736004,0.3873608325,11348968.225,1757236.2315,1030935.7
2023-09-01,B DIVISION,E,6071194.7,0.985708193,0.475323733,5985638.455,2897418.7928,910666.3
2023-04-01,Systemwide,Systemwide,123319690.6,1.183346716,0.44441776,145929950.8,54805460.6,17644328.3
2023-01-01,B DIVISION,L,5881998.6,1.375355522,0.703968567,8104056.029,4142818.597,534724.7
2023-04-01,A DIVISION,7,8487992.5,1.00604485,0.473797302,8629866.648,4048644.984,908682.5
2023-01-01,B DIVISION,N,4857070.4,1.2226789755,0.4117594925,5933679.377,1968977.874,769594
2023-11-01,A DIVISION,6,11367288,1.2597599735,0.7410238075,14341064.101,8448115.391,1580730.3
2023-06-01,B DIVISION,S Fkln,380546.1,0.50323052,0.101221761,191512.44587,38513.9365,15755.4
2023-01-01,B DIVISION,JZ,2718285.8,1.1021956555,0.373900488,2990466.786,1024397.6726,438545.3
